chunk_strategy,search_method,reranker,filter_mode,top_k,document_count,chunk_count,index_build_time_ms,query_count,mean_precision_at_k,mean_recall_at_k,mrr,mean_ndcg_at_k,mean_search_time_ms,product_confusion_count,version_mismatch_count
fixed,hybrid,lexical,product_and_version,5,2,2,0.8806999830994755,2,0.2,1.0,1.0,1.0,0.29984999855514616,0,0
paragraph,keyword,none,none,1,2,8,0.21669999114237726,2,1.0,1.0,1.0,1.0,0.05199998850002885,0,0
paragraph,keyword,none,none,3,2,8,0.21669999114237726,2,0.3333333333333333,1.0,1.0,1.0,0.05199998850002885,0,0
paragraph,keyword,none,none,5,2,8,0.21669999114237726,2,0.2,1.0,1.0,1.0,0.05199998850002885,0,0
paragraph,keyword,none,product,1,2,8,0.21669999114237726,2,1.0,1.0,1.0,1.0,0.05585001781582832,0,0
paragraph,keyword,none,product,3,2,8,0.21669999114237726,2,0.3333333333333333,1.0,1.0,1.0,0.05585001781582832,0,0
paragraph,keyword,none,product,5,2,8,0.21669999114237726,2,0.2,1.0,1.0,1.0,0.05585001781582832,0,0
paragraph,keyword,none,product_and_version,1,2,8,0.21669999114237726,2,1.0,1.0,1.0,1.0,0.05250000685919076,0,0
paragraph,keyword,none,product_and_version,3,2,8,0.21669999114237726,2,0.3333333333333333,1.0,1.0,1.0,0.05250000685919076,0,0
paragraph,keyword,none,product_and_version,5,2,8,0.21669999114237726,2,0.2,1.0,1.0,1.0,0.05250000685919076,0,0
paragraph,keyword,lexical,none,1,2,8,0.21669999114237726,2,1.0,1.0,1.0,1.0,0.1400500041199848,0,0
paragraph,keyword,lexical,none,3,2,8,0.21669999114237726,2,0.3333333333333333,1.0,1.0,1.0,0.1400500041199848,0,0
paragraph,keyword,lexical,none,5,2,8,0.21669999114237726,2,0.2,1.0,1.0,1.0,0.1400500041199848,0,0
paragraph,keyword,lexical,product,1,2,8,0.21669999114237726,2,1.0,1.0,1.0,1.0,0.12904999312013388,0,0
paragraph,keyword,lexical,product,3,2,8,0.21669999114237726,2,0.3333333333333333,1.0,1.0,1.0,0.12904999312013388,0,0
paragraph,keyword,lexical,product,5,2,8,0.21669999114237726,2,0.2,1.0,1.0,1.0,0.12904999312013388,0,0
paragraph,keyword,lexical,product_and_version,1,2,8,0.21669999114237726,2,1.0,1.0,1.0,1.0,0.2496999950380996,0,0
paragraph,keyword,lexical,product_and_version,3,2,8,0.21669999114237726,2,0.3333333333333333,1.0,1.0,1.0,0.2496999950380996,0,0
paragraph,keyword,lexical,product_and_version,5,2,8,0.21669999114237726,2,0.2,1.0,1.0,1.0,0.2496999950380996,0,0
paragraph,bm25,none,none,1,2,8,0.3578999894671142,2,1.0,1.0,1.0,1.0,0.04265000461600721,0,0
paragraph,bm25,none,none,3,2,8,0.3578999894671142,2,0.3333333333333333,1.0,1.0,1.0,0.04265000461600721,0,0
paragraph,bm25,none,none,5,2,8,0.3578999894671142,2,0.2,1.0,1.0,1.0,0.04265000461600721,0,0
paragraph,bm25,none,product,1,2,8,0.3578999894671142,2,1.0,1.0,1.0,1.0,0.03775001096073538,0,0
paragraph,bm25,none,product,3,2,8,0.3578999894671142,2,0.3333333333333333,1.0,1.0,1.0,0.03775001096073538,0,0
paragraph,bm25,none,product,5,2,8,0.3578999894671142,2,0.2,1.0,1.0,1.0,0.03775001096073538,0,0
paragraph,bm25,none,product_and_version,1,2,8,0.3578999894671142,2,1.0,1.0,1.0,1.0,0.08594999962951988,0,0
paragraph,bm25,none,product_and_version,3,2,8,0.3578999894671142,2,0.3333333333333333,1.0,1.0,1.0,0.08594999962951988,0,0
paragraph,bm25,none,product_and_version,5,2,8,0.3578999894671142,2,0.2,1.0,1.0,1.0,0.08594999962951988,0,0
paragraph,bm25,lexical,none,1,2,8,0.3578999894671142,2,1.0,1.0,1.0,1.0,0.2724000078160316,0,0
paragraph,bm25,lexical,none,3,2,8,0.3578999894671142,2,0.3333333333333333,1.0,1.0,1.0,0.2724000078160316,0,0
paragraph,bm25,lexical,none,5,2,8,0.3578999894671142,2,0.2,1.0,1.0,1.0,0.2724000078160316,0,0
paragraph,bm25,lexical,product,1,2,8,0.3578999894671142,2,1.0,1.0,1.0,1.0,0.21920001017861068,0,0
paragraph,bm25,lexical,product,3,2,8,0.3578999894671142,2,0.3333333333333333,1.0,1.0,1.0,0.21920001017861068,0,0
paragraph,bm25,lexical,product,5,2,8,0.3578999894671142,2,0.2,1.0,1.0,1.0,0.21920001017861068,0,0
paragraph,bm25,lexical,product_and_version,1,2,8,0.3578999894671142,2,1.0,1.0,1.0,1.0,0.22090000857133418,0,0
paragraph,bm25,lexical,product_and_version,3,2,8,0.3578999894671142,2,0.3333333333333333,1.0,1.0,1.0,0.22090000857133418,0,0
paragraph,bm25,lexical,product_and_version,5,2,8,0.3578999894671142,2,0.2,1.0,1.0,1.0,0.22090000857133418,0,0
paragraph,hash_embedding,none,none,1,2,8,1.8893999804276973,2,1.0,1.0,1.0,1.0,0.4693999799201265,0,0
paragraph,hash_embedding,none,none,3,2,8,1.8893999804276973,2,0.3333333333333333,1.0,1.0,1.0,0.4693999799201265,2,2
paragraph,hash_embedding,none,none,5,2,8,1.8893999804276973,2,0.2,1.0,1.0,1.0,0.4693999799201265,2,2
paragraph,hash_embedding,none,product,1,2,8,1.8893999804276973,2,1.0,1.0,1.0,1.0,0.18894999811891466,0,0
paragraph,hash_embedding,none,product,3,2,8,1.8893999804276973,2,0.3333333333333333,1.0,1.0,1.0,0.18894999811891466,0,0
paragraph,hash_embedding,none,product,5,2,8,1.8893999804276973,2,0.2,1.0,1.0,1.0,0.18894999811891466,0,0
paragraph,hash_embedding,none,product_and_version,1,2,8,1.8893999804276973,2,1.0,1.0,1.0,1.0,0.17919999663718045,0,0
paragraph,hash_embedding,none,product_and_version,3,2,8,1.8893999804276973,2,0.3333333333333333,1.0,1.0,1.0,0.17919999663718045,0,0
paragraph,hash_embedding,none,product_and_version,5,2,8,1.8893999804276973,2,0.2,1.0,1.0,1.0,0.17919999663718045,0,0
paragraph,hash_embedding,lexical,none,1,2,8,1.8893999804276973,2,1.0,1.0,1.0,1.0,0.4470999992918223,0,0
paragraph,hash_embedding,lexical,none,3,2,8,1.8893999804276973,2,0.3333333333333333,1.0,1.0,1.0,0.4470999992918223,2,2
paragraph,hash_embedding,lexical,none,5,2,8,1.8893999804276973,2,0.2,1.0,1.0,1.0,0.4470999992918223,2,2
paragraph,hash_embedding,lexical,product,1,2,8,1.8893999804276973,2,1.0,1.0,1.0,1.0,0.42025001312140375,0,0
paragraph,hash_embedding,lexical,product,3,2,8,1.8893999804276973,2,0.3333333333333333,1.0,1.0,1.0,0.42025001312140375,0,0
paragraph,hash_embedding,lexical,product,5,2,8,1.8893999804276973,2,0.2,1.0,1.0,1.0,0.42025001312140375,0,0
paragraph,hash_embedding,lexical,product_and_version,1,2,8,1.8893999804276973,2,1.0,1.0,1.0,1.0,0.4959999932907522,0,0
paragraph,hash_embedding,lexical,product_and_version,3,2,8,1.8893999804276973,2,0.3333333333333333,1.0,1.0,1.0,0.4959999932907522,0,0
paragraph,hash_embedding,lexical,product_and_version,5,2,8,1.8893999804276973,2,0.2,1.0,1.0,1.0,0.4959999932907522,0,0
paragraph,hybrid,none,none,1,2,8,1.5499999863095582,2,1.0,1.0,1.0,1.0,0.33075001556426287,0,0
paragraph,hybrid,none,none,3,2,8,1.5499999863095582,2,0.3333333333333333,1.0,1.0,1.0,0.33075001556426287,2,2
paragraph,hybrid,none,none,5,2,8,1.5499999863095582,2,0.2,1.0,1.0,1.0,0.33075001556426287,2,2
paragraph,hybrid,none,product,1,2,8,1.5499999863095582,2,1.0,1.0,1.0,1.0,0.24285000108648092,0,0
paragraph,hybrid,none,product,3,2,8,1.5499999863095582,2,0.3333333333333333,1.0,1.0,1.0,0.24285000108648092,0,0
paragraph,hybrid,none,product,5,2,8,1.5499999863095582,2,0.2,1.0,1.0,1.0,0.24285000108648092,0,0
paragraph,hybrid,none,product_and_version,1,2,8,1.5499999863095582,2,1.0,1.0,1.0,1.0,0.22279999393504113,0,0
paragraph,hybrid,none,product_and_version,3,2,8,1.5499999863095582,2,0.3333333333333333,1.0,1.0,1.0,0.22279999393504113,0,0
paragraph,hybrid,none,product_and_version,5,2,8,1.5499999863095582,2,0.2,1.0,1.0,1.0,0.22279999393504113,0,0
paragraph,hybrid,lexical,none,1,2,8,1.5499999863095582,2,1.0,1.0,1.0,1.0,0.44225000601727515,0,0
paragraph,hybrid,lexical,none,3,2,8,1.5499999863095582,2,0.3333333333333333,1.0,1.0,1.0,0.44225000601727515,2,2
paragraph,hybrid,lexical,none,5,2,8,1.5499999863095582,2,0.2,1.0,1.0,1.0,0.44225000601727515,2,2
paragraph,hybrid,lexical,product,1,2,8,1.5499999863095582,2,1.0,1.0,1.0,1.0,0.3368499892530963,0,0
paragraph,hybrid,lexical,product,3,2,8,1.5499999863095582,2,0.3333333333333333,1.0,1.0,1.0,0.3368499892530963,0,0
paragraph,hybrid,lexical,product,5,2,8,1.5499999863095582,2,0.2,1.0,1.0,1.0,0.3368499892530963,0,0
paragraph,hybrid,lexical,product_and_version,1,2,8,1.5499999863095582,2,1.0,1.0,1.0,1.0,0.6097000004956499,0,0
paragraph,hybrid,lexical,product_and_version,3,2,8,1.5499999863095582,2,0.3333333333333333,1.0,1.0,1.0,0.6097000004956499,0,0
paragraph,hybrid,lexical,product_and_version,5,2,8,1.5499999863095582,2,0.2,1.0,1.0,1.0,0.6097000004956499,0,0
heading,keyword,none,none,1,2,8,0.26080000679939985,2,1.0,1.0,1.0,1.0,0.07134999032132328,0,0
heading,keyword,none,none,3,2,8,0.26080000679939985,2,0.3333333333333333,1.0,1.0,1.0,0.07134999032132328,0,0
heading,keyword,none,none,5,2,8,0.26080000679939985,2,0.2,1.0,1.0,1.0,0.07134999032132328,0,0
heading,keyword,none,product,1,2,8,0.26080000679939985,2,1.0,1.0,1.0,1.0,0.05634999251924455,0,0
heading,keyword,none,product,3,2,8,0.26080000679939985,2,0.3333333333333333,1.0,1.0,1.0,0.05634999251924455,0,0
heading,keyword,none,product,5,2,8,0.26080000679939985,2,0.2,1.0,1.0,1.0,0.05634999251924455,0,0
heading,keyword,none,product_and_version,1,2,8,0.26080000679939985,2,1.0,1.0,1.0,1.0,0.04754999827127904,0,0
heading,keyword,none,product_and_version,3,2,8,0.26080000679939985,2,0.3333333333333333,1.0,1.0,1.0,0.04754999827127904,0,0
heading,keyword,none,product_and_version,5,2,8,0.26080000679939985,2,0.2,1.0,1.0,1.0,0.04754999827127904,0,0
heading,keyword,lexical,none,1,2,8,0.26080000679939985,2,1.0,1.0,1.0,1.0,0.40400002035312355,0,0
heading,keyword,lexical,none,3,2,8,0.26080000679939985,2,0.3333333333333333,1.0,1.0,1.0,0.40400002035312355,0,0
heading,keyword,lexical,none,5,2,8,0.26080000679939985,2,0.2,1.0,1.0,1.0,0.40400002035312355,0,0
heading,keyword,lexical,product,1,2,8,0.26080000679939985,2,1.0,1.0,1.0,1.0,0.19690000044647604,0,0
heading,keyword,lexical,product,3,2,8,0.26080000679939985,2,0.3333333333333333,1.0,1.0,1.0,0.19690000044647604,0,0
heading,keyword,lexical,product,5,2,8,0.26080000679939985,2,0.2,1.0,1.0,1.0,0.19690000044647604,0,0
heading,keyword,lexical,product_and_version,1,2,8,0.26080000679939985,2,1.0,1.0,1.0,1.0,0.3268000000389293,0,0
heading,keyword,lexical,product_and_version,3,2,8,0.26080000679939985,2,0.3333333333333333,1.0,1.0,1.0,0.3268000000389293,0,0
heading,keyword,lexical,product_and_version,5,2,8,0.26080000679939985,2,0.2,1.0,1.0,1.0,0.3268000000389293,0,0
heading,bm25,none,none,1,2,8,0.31239999225363135,2,1.0,1.0,1.0,1.0,0.03944999480154365,0,0
heading,bm25,none,none,3,2,8,0.31239999225363135,2,0.3333333333333333,1.0,1.0,1.0,0.03944999480154365,0,0
